city_name,nsight
玉溪,21
益阳,20
烟台,18
大兴安岭,18
潍坊,18
自贡,16
邢台,16
周口,16
雅安,15
内江,15
保定,15
万宁,14
东营,14
武威,14
宁德,14
沈阳,14
泸州,14
庆阳,14
抚州,14
淮北,13
德州,13
昭通,13
贵港,13
郴州,13
阳泉,13
商丘,13
六安,12
德阳,12
宿州,12
定西,12
娄底,12
塔城,12
廊坊,12
商洛,12
凉山,12
本溪,12
和田,12
伊犁,12
白银,12
黑河,12
百色,12
临汾,12
赣州,12
安康,11
齐齐哈尔,11
黔西南,11
阳江,11
大庆,11
迪庆,11
新乡,11
延安,11
芜湖,11
眉山,11
巢湖,11
巴中,11
广安,11
无锡,11
宣城,11
龙岩,11
佳木斯,11
乐山,11
临沂,11
乌兰察布,11
柳州,10
滁州,10
湘西,10
朔州,10
宿迁,10
鞍山,10
漯河,10
济宁,10
遂宁,10
株洲,10
宜宾,10
南充,10
保山,10
汕尾,10
江门,10
达州,10
琼海,10
怒江,10
吕梁,10
文山,10
南阳,10
贺州,10
防城港,10
蚌埠,10
岳阳,9
来宾,9
阜新,9
酒泉,9
兰州,9
攀枝花,9
宜春,9
曲靖,9
承德,9
恩施,9
毕节,9
永州,9
景德镇,9
衡水,9
滨州,9
鸡西,9
焦作,9
连云港,9
湘潭,9
淮安,9
牡丹江,9
太原,9
营口,9
威海,9
河源,9
河池,9
莆田,8
铜仁,8
成都,8
铁岭,8
丽水,8
盘锦,8
白山,8
资阳,8
新余,8
临沧,8
汕头,8
昌吉,8
普洱,8
汉中,8
渭南,8
朝阳,8
云浮,8
淄博,8
林芝,8
通辽,8
泰安,8
忻州,8
济南,8
黔东南,8
南通,8
陵水,8
安顺,8
阿里,8
唐山,8
德宏,8
天水,8
兴安盟,8
双鸭山,8
吉林市,8
三沙,8
潮州,7
漳州,7
菏泽,7
许昌,7
张家口,7
遵义,7
神农架,7
梧州,7
珠海,7
崇左,7
那曲,7
中卫,7
北海,7
哈密,7
玉林,7
三亚,7
孝感,7
榆林,7
大同,7
鹤壁,7
丹东,7
揭阳,7
咸阳,7
襄阳,7
白城,7
呼和浩特,7
温州,7
平顶山,7
乌鲁木齐,7
金昌,7
晋城,7
韶关,6
海口,6
呼伦贝尔,6
合肥,6
黄冈,6
沧州,6
泉州,6
嘉兴,6
通化,6
大理,6
楚雄州,6
六盘水,6
金华,6
阜阳,6
日喀则,6
日照,6
保亭,6
肇庆,6
常州,6
西双版纳,6
绵阳,6
山南,6
阿克苏,6
秦皇岛,6
宝鸡,6
三明,6
张掖,6
徐州,6
延边,6
苏州,5
衡阳,5
荆州,5
茂名,5
丽江,5
咸宁,5
黔南,5
衢州,5
吴忠,5
绥化,5
石家庄,5
石嘴山,5
信阳,5
驻马店,5
博尔塔拉,5
梅州,5
扬州,5
开封,5
抚顺,5
拉萨,5
儋州,5
佛山,5
常德,5
巴音郭楞,5
巴彦淖尔,5
上饶,5
松原,5
枣庄,5
宜昌,5
陇南,5
深圳,5
辽阳,5
运城,5
黄石,5
黄山,5
固原,5
中山,5
鹤岗,5
伊春,5
五指山,5
马鞍山,4
贵阳,4
三门峡,4
银川,4
西安,4
随州,4
赤峰,4
邵阳,4
铜陵,4
铜川,4
钦州,4
七台河,4
葫芦岛,4
湖州,4
亳州,4
怀化,4
萍乡,4
广元,4
包头,4
安阳,4
十堰,4
安庆,4
天津,4
大连,4
南宁,4
四平,4
喀什,4
吐鲁番,4
吉安,4
淮南,4
张家界,4
濮阳,4
甘孜,4
绍兴,4
石河子,4
阿勒泰,3
阿坝,3
克拉玛依,3
锡林郭勒盟,3
宁波,3
天门,3
惠州,3
昆明,3
湛江,3
南昌,3
鹰潭,3
嘉峪关,3
东莞,3
聊城,3
哈尔滨,3
五家渠,3
舟山,3
红河,2
厦门,2
乐东,2
定安,2
阿拉尔,2
福州,2
台州,2
重庆,2
广州,2
长治,2
长沙,2
鄂尔多斯,2
鄂州,2
济源,2
仙桃,2
北京,1
临高,1
洛阳,1
武汉,1
九江,1
桂林,1
图木舒克,1
杭州,1
昌江,1
晋中,1
潜江,1
太湖,1
南京,1
青木川,1
澄迈,1
克孜勒苏柯尔克孜,1
琼中,1
辽源,1
上海,1
